Line-number,x-coord,y-coord,width
0,-115691.86088648865,-2276299.6847493439,79944.995036397318
0,-115541.94198725419,-2276304.5681246971,79577.852547882678
0,-115392.04507991899,-2276310.0394930369,79212.438266247118
0,-115242.17019312127,-2276316.0987350545,78908.973441667244
0,-115092.31857840676,-2276322.7587856562,78695.816021220919
0,-114942.51328524809,-2276330.2773301871,78565.682260636735
0,-114792.75517356767,-2276338.6673103571,78520.292302207235
0,-114643.04522301334,-2276347.9433348952,78560.264223898092
0,-114493.3920658454,-2276358.0672715106,78620.629420698533
0,-114343.79816343912,-2276369.0092581967,78647.886585138331
0,-114194.26253892518,-2276380.754886833,78599.688531732289
0,-114044.75880628654,-2276392.9453329747,78468.957422516309
0,-113895.24414178992,-2276404.9998743501,78255.198994459657
0,-113745.71862662474,-2276416.9194667106,77966.714043074535
0,-113596.18233131939,-2276428.7043637228,77616.484104654912
0,-113446.63613222573,-2276440.3465870605,77259.910930509606
0,-113297.08239985167,-2276451.8765256628,76937.352301611638
0,-113147.52349023991,-2276463.3243815452,76680.624898449198
0,-112997.96668902156,-2276474.793863269,76511.923342287759
0,-112848.41471859765,-2276486.3245189679,76388.426082992897
0,-112698.8676901068,-2276497.9176656366,76299.77468202445
0,-112549.3215918316,-2276509.5253416956,76199.521544840536
0,-112399.76760035848,-2276521.0417794934,76073.123233806604
0,-112250.20430557503,-2276532.4496476152,75901.916867415741
0,-112100.63028486635,-2276543.7314583883,75734.547384706835
0,-111951.09373720312,-2276555.4797454518,75524.551599319777
0,-111801.59529365978,-2276567.7003683569,75356.290806612044
0,-111652.13554101349,-2276580.3984947819,75049.227106432474
0,-111502.64805813073,-2276592.7208155934,74593.622580957468
0,-111353.09702972534,-2276604.2120208088,74259.008768748259
0,-111203.48167969157,-2276614.8665527557,74042.520273965085
0,-111053.827902826,-2276625.0333825825,73924.751388547433
0,-110904.19388581986,-2276635.4869335,73888.427602775395
0,-110754.57866704192,-2276646.2123859194,73892.647789966839
